Id,Neighborhood,lat,lon,price
43,SawyerW,42.036572236767654,-93.68336137072652,144000
44,CollgCr,42.01909435713416,-93.66829005532618,130250
45,NAmes,42.04241993179638,-93.61659876531684,141000
46,NridgHt,42.05701272605857,-93.64539405357156,319900
47,Mitchel,41.992096253104116,-93.60774513285114,239686
48,Somerst,42.0482787276478,-93.63694850265786,249700
49,OldTown,42.03353763076878,-93.61276755862596,113000
50,Sawyer,42.0343093394356,-93.67501184749237,127000
51,Gilbert,42.10806920953873,-93.64348303990899,177000
52,BrkSide,42.030798871904395,-93.62638307724454,114500
53,IDOTRR,42.02252850566089,-93.62429308949223,110000
54,Veenker,42.04259377158281,-93.64092660455646,385000
55,NAmes,42.04507448758002,-93.62402184776339,130000
56,NAmes,42.043665169300546,-93.61518278162544,180500
57,Somerst,42.0475481562115,-93.63855767052681,172500
58,CollgCr,42.02227540049479,-93.66499121851156,196500
59,StoneBr,42.062271044106126,-93.62880546144842,438780
60,CollgCr,42.02055708380492,-93.6640756205999,124900
61,SawyerW,42.03614470815487,-93.68423541856995,158000
62,IDOTRR,42.019428503208545,-93.6212987681668,101000
63,NridgHt,42.05991232663422,-93.64553721500513,202500
64,OldTown,42.03405052740933,-93.61273745613795,140000
65,CollgCr,42.017845675967514,-93.6653445627771,219500
66,NridgHt,42.058182304936494,-93.65433933062633,317000
67,NAmes,42.045639529891226,-93.61733802604601,180000
68,CollgCr,42.018743122177554,-93.66621294382395,226000
69,OldTown,42.032734568108005,-93.61319116746606,80000
70,ClearCr,42.03334274402835,-93.65495400076679,225000
71,NAmes,42.03988767575604,-93.61924530705599,244000
72,Mitchel,41.98905767898223,-93.61026257583538,129500
73,Gilbert,42.10567619063373,-93.65347216396424,185000
74,NAmes,42.03956039752294,-93.61549985352134,144900
75,OldTown,42.030416493825484,-93.61716968116005,107400
76,MeadowV,41.99098048146479,-93.60333486874944,91000
77,NAmes,42.04116845910138,-93.6247573445236,135750
78,BrkSide,42.02891626502681,-93.62648316987948,127000
79,Sawyer,42.03156400324045,-93.67450794724142,136500
80,OldTown,42.03230142018772,-93.61094270367077,110000
81,NAmes,42.041894101669094,-93.6234288005566,193500
82,Mitchel,41.99017286030727,-93.60821226279985,153500
83,Somerst,42.045522842762104,-93.64877933564014,245000
84,NAmes,42.04242968382519,-93.61725266693043,126500
85,Gilbert,42.10721402322977,-93.64965358819843,168500
86,NoRidge,42.05232175532461,-93.65173212869993,260000
87,Gilbert,42.09866908467017,-93.64505074110777,174000
88,Somerst,42.0513542968827,-93.6493742272244,164500
89,IDOTRR,42.021072359098255,-93.62306269078363,85000
90,CollgCr,42.01999022088733,-93.66418233821733,123600
91,NAmes,42.0403764754512,-93.62309086267656,109900
92,NAmes,42.04715066733,-93.62157760714757,98600
93,Crawfor,42.01367110993874,-93.58315101987198,163500
94,OldTown,42.029800922744855,-93.61371863091324,133900
95,CollgCr,42.01813265374717,-93.66413854284328,204750
96,Gilbert,42.102420270494065,-93.64349356709359,185000
97,CollgCr,42.01912501483747,-93.65981304353899,214000
98,Edwards,42.022471552146605,-93.66039484443242,94750
99,Edwards,42.026086915285376,-93.65342091628354,83000
100,NAmes,42.044020680154595,-93.62344325805283,128950
101,NWAmes,42.04525778903373,-93.6314804421331,205000
102,SawyerW,42.0294721855194,-93.68371743866751,178000
103,SawyerW,42.0370762086498,-93.68252728047108,118964
104,CollgCr,42.02033893526372,-93.66917367635085,198900
105,IDOTRR,42.021027209900986,-93.62546614669694,169500
106,Somerst,42.05278047328647,-93.64590422612761,250000
107,OldTown,42.03141521132549,-93.61916151664258,100000
108,OldTown,42.032597894143194,-93.61538555719622,115000
109,IDOTRR,42.02198213412563,-93.62637721291236,115000
110,NWAmes,42.03985346615126,-93.62973475388564,190000
111,Edwards,42.021298782174554,-93.65657818769265,136900
112,Gilbert,42.107276887502,-93.64475601546712,180000
113,CollgCr,42.021289704249284,-93.6633352672677,383970
114,Crawfor,42.0198898587974,-93.60844762797211,217000
115,Crawfor,42.02069661062339,-93.5867320782855,259500
116,Somerst,42.05577628245224,-93.64610420867791,176000
117,Sawyer,42.03225444643933,-93.6730486917795,139000
118,Edwards,42.02336762412003,-93.65354638890055,155000
119,SawyerW,42.032978502908634,-93.67889092187178,320000
120,CollgCr,42.018726689320076,-93.66320983083487,163990
121,ClearCr,42.031298459930866,-93.66577943705052,180000
122,IDOTRR,42.019419695832795,-93.62058797976763,100000
123,NAmes,42.04395582827083,-93.61889430610744,136000
124,SawyerW,42.03118852657695,-93.67886082059076,153900
125,NWAmes,42.043252610875875,-93.62680604227167,181000
126,IDOTRR,42.020210608762575,-93.62245393120355,84500
127,NPkVill,42.04909981202167,-93.62573698098267,128000
128,OldTown,42.02930876574413,-93.61602559904922,87000
129,NAmes,42.03929632794914,-93.62095498547959,155000
130,NAmes,42.04642323303896,-93.62000100940836,150000
131,NAmes,42.0391713427057,-93.62152043237575,226000
132,Gilbert,42.103200914163104,-93.63908049197339,244000
133,NAmes,42.045064053409924,-93.61836929454765,150750
134,Timber,42.00113054666636,-93.64931938146314,220000
135,Sawyer,42.03177454293511,-93.67032567936857,180000
136,NWAmes,42.040452528737404,-93.62908408149148,174000
137,NAmes,42.04274807992712,-93.61511139152877,143000
138,Mitchel,41.993000267579504,-93.60889563934187,171000
139,CollgCr,42.01846937512497,-93.66651778423494,230000
140,CollgCr,42.02008271304092,-93.6633560956778,231500
141,NAmes,42.04468003783623,-93.62475112410065,115000
142,CollgCr,42.02068155607277,-93.6705521738279,260000
143,NAmes,42.040336302775664,-93.61763196481348,166000
144,CollgCr,42.02000695337379,-93.66780588162747,204000
145,Sawyer,42.03575343406312,-93.66881459998788,125000
146,Edwards,42.02459260728067,-93.65711654409253,130000
147,BrkSide,42.03012707945433,-93.62753123769134,105000
148,Gilbert,42.11145488575026,-93.64165933056526,222500
149,SawyerW,42.036552459726295,-93.67924837269156,141000
150,BrkSide,42.02748561242902,-93.62473977563091,115000
151,CollgCr,42.02062942282466,-93.66459672354226,122000
152,NridgHt,42.06115895715664,-93.64889016493424,372402
153,NWAmes,42.04252221156918,-93.62981332921295,190000
154,ClearCr,42.0324277257397,-93.64892888947715,235000
155,OldTown,42.03136769385684,-93.61496720116335,125000
156,Edwards,42.02372829089477,-93.65617948284746,79000
157,NAmes,42.03993770096758,-93.62031097955817,109500
158,Timber,41.997784618112064,-93.64664870095395,269500
159,Somerst,42.04617704126814,-93.64751572328116,254900
160,Gilbert,42.09768409559957,-93.64168122244503,320000
161,Veenker,42.04382370464883,-93.64277697452762,162500
162,NridgHt,42.062826817107926,-93.65580638243196,412500
163,NridgHt,42.061404660735214,-93.65309949554933,220000
164,OldTown,42.0301280322542,-93.61898780636155,103200
165,OldTown,42.03135387757832,-93.61777010427188,152000
166,Edwards,42.0222077111034,-93.65976436116885,127500
167,ClearCr,42.029782442505464,-93.6547833082567,190000
168,NridgHt,42.06559284859247,-93.656971965048,325624
169,Gilbert,42.11031465999442,-93.65192896323697,183500
170,Timber,41.99906731175882,-93.64580447790544,228000
171,OldTown,42.03178431824316,-93.61264676004234,128500
172,NAmes,42.04444018616397,-93.61840276133348,215000
173,StoneBr,42.062507346388806,-93.63159262156405,239000
174,NAmes,42.046711862591046,-93.62088058571295,163000
175,Timber,41.99860723765848,-93.64396249587966,184000
176,Edwards,42.02264245128594,-93.65303554545623,243000
177,ClearCr,42.03201722068002,-93.65699129197881,211000
178,Sawyer,42.031245563412476,-93.67026191319884,172500
179,StoneBr,42.05746520288621,-93.63415079164709,501837
180,OldTown,42.02831251713362,-93.61218413427542,100000
181,Somerst,42.050302824435775,-93.64863871113471,177000
182,Crawfor,42.02012484486329,-93.59472463709727,200100
183,Edwards,42.02606016528284,-93.65469245509065,120000
184,OldTown,42.03306992418976,-93.61835035779079,200000
185,BrkSide,42.027933651393724,-93.62744389396032,127000
186,OldTown,42.032198205147175,-93.61316609897473,475000
187,Mitchel,41.99296654757165,-93.60207396910435,173000
188,OldTown,42.03324584197286,-93.61495719845865,135000
189,SawyerW,42.03248640995955,-93.68374853749889,153337
190,StoneBr,42.059946687942805,-93.63093459511201,286000
191,Crawfor,42.010498809139875,-93.62650344730764,315000
192,NAmes,42.047482264733766,-93.61508335546355,184000
193,CollgCr,42.01874239874762,-93.66801030392874,192000
194,Edwards,42.02298842318274,-93.65228444550537,130000
195,CollgCr,42.02065659641871,-93.65987071276075,127000
196,NPkVill,42.048280112514036,-93.62608470738685,148500
197,Somerst,42.04549302192211,-93.64490188209732,311872
198,NAmes,42.043539692783554,-93.62464649558508,235000
199,OldTown,42.02830232871988,-93.614183157268,104000
200,NridgHt,42.06142584957576,-93.65139635140264,274900
201,Edwards,42.0233936261515,-93.6549141074652,140000
202,Mitchel,41.99041508677669,-93.60311938380735,171500
203,OldTown,42.03152388434208,-93.6137721963611,112000
204,CollgCr,42.02133272411656,-93.66706503108058,149000
205,OldTown,42.02960682457482,-93.61441971541045,110000
206,Gilbert,42.0977420421067,-93.6461039291207,180500
207,Sawyer,42.032825021694784,-93.67530074158057,143900
208,NAmes,42.039882103561546,-93.62307436120022,141000
209,SawyerW,42.034338878976236,-93.68312583177077,277000
210,NAmes,42.03888193841268,-93.61513395990842,145000
211,Edwards,42.024091168628196,-93.65454512845378,98000
212,Edwards,42.02293981463641,-93.66286515964467,186000
213,Somerst,42.04812790154127,-93.64328334910653,252678
214,CollgCr,42.021660669076034,-93.66448109579107,156000
215,CollgCr,42.01852541811435,-93.66699996275123,161750
216,NAmes,42.04265949902425,-93.62424097314208,134450
217,CollgCr,42.02096262106157,-93.66540638818567,210000
218,OldTown,42.03022548991988,-93.61380471661865,107000
219,Crawfor,42.01555853505847,-93.60425046034531,311500
220,Blmngtn,42.05954372987546,-93.63985477113553,167240
221,CollgCr,42.020290536217445,-93.66577057985631,204900
222,Gilbert,42.10211806665475,-93.64791116012258,200000
223,NWAmes,42.04154443235816,-93.63222201159692,179900
224,NAmes,42.043678921318524,-93.61816254993316,97000
225,NridgHt,42.063851677229295,-93.66305964810232,386250
226,BrDale,42.05316635473558,-93.62772258713329,112000
227,NoRidge,42.04713238619598,-93.65203105902721,290000
228,BrDale,42.05181316330145,-93.63023700265494,106000
229,Sawyer,42.030590628060864,-93.67246913939017,125000
230,Blmngtn,42.06271555523679,-93.63729791287231,192500
231,NAmes,42.04439769632965,-93.62369516906709,148000
232,NoRidge,42.053451609069185,-93.65639975256718,403000
233,BrDale,42.05179540050094,-93.63275339605671,94500
234,CollgCr,42.02137071418983,-93.66149208507692,128200
235,Gilbert,42.09651750396855,-93.64676744967362,216500
236,BrDale,42.05136199262414,-93.63112851513006,89500
237,CollgCr,42.022465672963456,-93.66664166098305,185500
238,SawyerW,42.029936811817024,-93.68000185389579,194500
239,NridgHt,42.05803428194848,-93.65307802637622,318000
240,Edwards,42.02414957285184,-93.6554830033751,113000
241,Somerst,42.04798743319885,-93.64224456510466,262500
242,OldTown,42.03403945498539,-93.61955175346489,110500
243,OldTown,42.0296105482801,-93.61155533537645,79000
244,SawyerW,42.033771353891126,-93.68008264874918,120000
245,SawyerW,42.034633969990594,-93.68745729400192,205000
246,NWAmes,42.04078563789592,-93.62812893519849,241500
247,OldTown,42.02800163860866,-93.61068815514743,137000
248,NAmes,42.04679057463731,-93.61892743819753,140000
249,CollgCr,42.01839345892717,-93.66332010221284,180000
250,ClearCr,42.02998489107748,-93.66149200618926,277000
251,BrkSide,42.03006492283464,-93.62530780741918,76500
252,Crawfor,42.01532879785044,-93.61770374550596,235000
253,SawyerW,42.02999671890602,-93.67904913019738,173000
254,NAmes,42.0414863130039,-93.62422045885593,158000
255,NAmes,42.042851916650015,-93.61612745735454,145000
256,Gilbert,42.10095192394419,-93.63499601673688,230000
257,Somerst,42.05154265754601,-93.64239646185283,207500
258,CollgCr,42.017542615895465,-93.66659510233255,220000
259,CollgCr,42.01802571658824,-93.66872906815476,231500
260,OldTown,42.02823319426427,-93.62005307673924,97000
261,NAmes,42.04306214587484,-93.62030072507852,176000
262,CollgCr,42.02089124528847,-93.6636331201825,276000
263,Sawyer,42.03592842840778,-93.67778330284581,151000
264,OldTown,42.028848020588725,-93.61254464674063,130000
265,OldTown,42.03436664578765,-93.61371473372304,73000
266,NWAmes,42.04260054615911,-93.63140055813417,175500
267,Gilbert,42.10438222360896,-93.63500596703834,185000
268,SWISU,42.00902063517492,-93.65688031134502,179500
269,IDOTRR,42.02167344992426,-93.62546679474038,120500
270,Edwards,42.02126836643638,-93.6551559265168,148000
271,Somerst,42.04680617662908,-93.64496861244645,266000
272,ClearCr,42.03445759881204,-93.65792136342064,241500
273,NoRidge,42.050732854341966,-93.6527318595516,290000
274,NAmes,42.039705038299154,-93.61729110944593,139000
275,Mitchel,41.987474755995315,-93.60451394435854,124500
276,BrkSide,42.03178431135333,-93.62806497151549,205000
277,Mitchel,41.99645013625464,-93.60348802238391,201000
278,Gilbert,42.10587816600896,-93.64223006738261,141000
279,NridgHt,42.060415841077315,-93.6512624508626,415298
280,ClearCr,42.03417062110185,-93.66738471145865,192000
281,SawyerW,42.03068361211285,-93.68215928295994,228500
282,Somerst,42.046130329384034,-93.64397147287397,185000
283,NridgHt,42.065311759643045,-93.6492061680238,207500
284,Somerst,42.05415790626748,-93.6449959700159,244600
285,SawyerW,42.03374258161887,-93.6855485057596,179200
286,Somerst,42.055643122186474,-93.64313477991993,164700
287,NAmes,42.040807078872255,-93.62340913496216,159000
288,NAmes,42.0460620005284,-93.6183188506098,88000
289,Sawyer,42.03478710908396,-93.66897413492,122000
290,BrkSide,42.03422597761132,-93.62910371037712,153575
291,CollgCr,42.0193684026199,-93.66153854863616,233230
292,SWISU,42.01007709519065,-93.652564271969,135900
293,Edwards,42.022971757829666,-93.65410396948681,131000
294,NWAmes,42.04244206023991,-93.63514029532966,235000
295,NAmes,42.04515048335041,-93.61661758675758,167000
296,Mitchel,41.98919245487235,-93.60887655538275,142500
297,IDOTRR,42.02246483503063,-93.62324737544085,152000
298,Somerst,42.04559691450095,-93.64118611750992,239000
299,NWAmes,42.040880788925605,-93.63295384650117,175000
300,Crawfor,42.01288304129556,-93.59276932136977,158500
301,Crawfor,42.01094921844931,-93.63025387346289,157000
302,CollgCr,42.02243271773455,-93.6658878317831,267000
303,CollgCr,42.020308320028434,-93.66760974857836,205000
304,CollgCr,42.02058600796375,-93.6612905853762,149900
305,OldTown,42.03261663438002,-93.61729702071045,295000
306,CollgCr,42.019737375657904,-93.66877182336142,305900
307,SawyerW,42.03246213009408,-93.68048928596784,225000
308,IDOTRR,42.020268131400684,-93.62442926571424,89500
309,Edwards,42.022472659221506,-93.65616133050813,82500
310,NridgHt,42.06044320513928,-93.64682875318036,360000
311,Gilbert,42.11308247860252,-93.6404741060928,165600
312,NAmes,42.044074072839955,-93.61412880977562,132000
313,OldTown,42.02840149352292,-93.61497872058109,119900
314,Timber,41.99847309777179,-93.64494829108142,375000
315,OldTown,42.03109399064247,-93.61203756290381,178000
316,Gilbert,42.11321816061558,-93.64208685767983,188500
317,NWAmes,42.043139994264784,-93.6290709138656,260000
318,Somerst,42.05172163301069,-93.64401370171252,270000
319,NoRidge,42.05485809297757,-93.65096642591585,260000
320,NWAmes,42.03930047189719,-93.62739257413655,187500
321,NridgHt,42.05722347435589,-93.64808517762032,342643
322,NridgHt,42.058970071137985,-93.65896264237674,354000
323,SawyerW,42.03589859188375,-93.68553909289605,301000
324,OldTown,42.03280380568645,-93.6108255029471,126175
325,NAmes,42.04186807273612,-93.62290385063784,242000
326,IDOTRR,42.02007109133261,-93.62676367428782,87000
327,Veenker,42.04379998768465,-93.64108953220853,324000
328,NAmes,42.043224686721814,-93.62515026646794,145250
329,BrkSide,42.0316230487119,-93.62678804108866,214500
330,IDOTRR,42.0198402737507,-93.62478542656216,78000
331,NAmes,42.040489276684674,-93.61990139950447,119000
332,NAmes,42.04406541810412,-93.61710974519899,139000
333,NridgHt,42.057368080727834,-93.65025618139386,284000
334,NridgHt,42.05803731527657,-93.64440643006726,207000
335,Gilbert,42.10578653044795,-93.63537575559363,192000
336,Timber,42.001815780996694,-93.64764414095652,228950
337,StoneBr,42.06145463392499,-93.62961676603805,377426
338,CollgCr,42.022236321758996,-93.66368072463035,214000
339,NWAmes,42.04328246101431,-93.62820916802272,202500
340,NAmes,42.03971510842373,-93.61397045563581,155000
341,Timber,41.999138081427795,-93.65045437529933,202900
342,SawyerW,42.03170340335364,-93.67991846615773,82000
343,NAmes,42.0415947293503,-93.62196986994756,87500
344,NridgHt,42.06220170383086,-93.65912729502172,266000
345,MeadowV,41.991589457024524,-93.60396029494534,85000
346,BrkSide,42.03251288813751,-93.62790540829884,140200
347,NAmes,42.04359236913545,-93.621280706543,151500
348,NAmes,42.03869433639708,-93.62180978950207,157500
349,NridgHt,42.061054504482016,-93.65697212477599,154000
350,NridgHt,42.06369573881546,-93.65038527782113,437154
351,NridgHt,42.05865700145945,-93.65997343387642,318061
352,ClearCr,42.03313477451927,-93.65074269759661,190000
353,Edwards,42.024926377679094,-93.65623664325838,95000
354,OldTown,42.02959099787559,-93.62001823475136,105900
355,SWISU,42.01140194451619,-93.66549400973025,140000
356,CollgCr,42.02067994195602,-93.66243026319084,177500
357,Gilbert,42.10967828599897,-93.64187495302794,173000
358,MeadowV,41.99225986506512,-93.60253653456313,134000
359,ClearCr,42.030048711687286,-93.65837689203825,130000
360,NoRidge,42.05249871163934,-93.65430480812167,280000
361,Mitchel,41.994052777664955,-93.60766745567261,156000
362,BrkSide,42.0311365590481,-93.62809206912269,145000
363,Edwards,42.02422139249098,-93.65774704318639,198500
364,BrDale,42.05251433940237,-93.63083454520073,118000
365,NWAmes,42.04430618731097,-93.63036365889468,190000
366,IDOTRR,42.02014664234987,-93.62119519553312,147000
367,NAmes,42.04039595305548,-93.6165736745898,159000
368,NAmes,42.04359011290128,-93.62046300089555,165000
369,NAmes,42.04518355941234,-93.62531972687168,132000
370,NAmes,42.04149230590352,-93.61488002223074,162000
371,Gilbert,42.11260451204396,-93.65168955166996,172400
372,ClearCr,42.03450346510115,-93.65359917011561,134432
373,SawyerW,42.03109395356868,-93.67977651272021,125000
374,NAmes,42.047567896387264,-93.61998035449608,123000
375,CollgCr,42.02164245317844,-93.66570142152902,219500
376,Edwards,42.02146430928338,-93.65828438202676,61000
377,CollgCr,42.02155572068358,-93.66081183132361,148000
378,Somerst,42.05490531013073,-93.64514646217094,340000
379,StoneBr,42.058222357673785,-93.63269528905627,394432
380,Gilbert,42.10953147735851,-93.65907475214156,179000
381,SWISU,42.00934743533758,-93.66184739727159,127000
382,Somerst,42.05224282394615,-93.64244284692289,187750
383,CollgCr,42.01927898573562,-93.67081800093582,213500
384,SawyerW,42.029415102651406,-93.68232058649504,76000
385,ClearCr,42.03252801053576,-93.66084124491611,240000
386,Blmngtn,42.05772782362341,-93.64048255930201,192000
387,Edwards,42.02255221641856,-93.66307584378892,81000
388,Edwards,42.02303672392983,-93.65293378998643,125000
389,CollgCr,42.01757602813454,-93.66756941343638,191000
390,NridgHt,42.06111979840732,-93.65527113676791,426000
391,Edwards,42.026994323123326,-93.6535536854837,119000
392,Mitchel,41.994971873764385,-93.60938688279786,215000
393,NAmes,42.04504327188609,-93.6218804271237,106500
394,BrkSide,42.0328006045154,-93.62980443066103,100000
395,OldTown,42.03094584054322,-93.61429166389968,109000
396,Edwards,42.02503542707827,-93.65467775044647,129000
397,CollgCr,42.020677597391995,-93.66991450553374,123000
398,NAmes,42.04544295370175,-93.62085760630339,169500
399,IDOTRR,42.0216120601979,-93.62299896336515,67000
400,Somerst,42.04617313142005,-93.64608921071726,241000
401,Veenker,42.04485173347503,-93.64482030468938,245500
402,CollgCr,42.01839195827975,-93.66447103737623,164990
403,Sawyer,42.035943083059756,-93.67245227938722,108000
404,NoRidge,42.049871985731734,-93.65420952843787,258000
405,Gilbert,42.09903069324733,-93.6355167114808,168000
406,Sawyer,42.031007096555975,-93.67387412015096,150000
407,SWISU,42.01028449197706,-93.6570809884905,115000
408,Crawfor,42.010666251231505,-93.61804573696193,177000
409,NridgHt,42.06058131866811,-93.66117948608647,280000
410,Somerst,42.05213727598043,-93.6477207222479,339750
411,Edwards,42.02418914008333,-93.65390555358526,60000
412,Gilbert,42.10951949782282,-93.64538705056539,145000
413,Somerst,42.050290876166926,-93.63940278548988,222000
414,OldTown,42.029979273042905,-93.61593760212817,115000
415,SawyerW,42.03007245553895,-93.68132202441456,228000
416,Gilbert,42.10809009621926,-93.64674080137331,181134
417,Sawyer,42.03535131908759,-93.67596228505384,149500
418,Crawfor,42.01081832738661,-93.58895906176618,239000
419,Edwards,42.02292079718749,-93.66138683121592,126000
420,NAmes,42.04608199720381,-93.61615588551506,142000
421,Mitchel,41.9867222639561,-93.60941516611291,206300
422,NWAmes,42.045385603134456,-93.63634302005867,215000
423,Mitchel,41.99498802253305,-93.60197037671357,113000
424,NoRidge,42.0513026723948,-93.65434823254112,315000
425,NAmes,42.047536122168026,-93.62201299230513,139000
426,OldTown,42.029201841533315,-93.61718092666952,135000
427,SawyerW,42.03067512746544,-93.6840286516867,275000
428,NAmes,42.041498600202175,-93.62100646427653,109008
429,CollgCr,42.01933108636872,-93.66968360361487,195400
430,Timber,41.99907220346,-93.64756314431864,175000
431,BrDale,42.05368555486491,-93.63104216384805,85400
432,OldTown,42.03057223072691,-93.61098149789437,79900
433,BrDale,42.05378847654206,-93.62867695116138,122500
434,Gilbert,42.10492100914003,-93.63825477440611,181000
435,MeadowV,41.991901051587085,-93.60164780683658,81000
436,CollgCr,42.01816991412574,-93.66582668044491,212000
437,OldTown,42.02869308373555,-93.6172969814505,116000
438,BrkSide,42.02964529024712,-93.628429206165,119000
439,Crawfor,42.02260833910456,-93.59784341488923,90350
440,Edwards,42.023710916390776,-93.65187118201254,110000
441,NridgHt,42.064417363245916,-93.66005293928359,555000
442,Edwards,42.0264831413831,-93.65471182162824,118000
443,BrkSide,42.031263159667894,-93.62744998236379,162900
444,Blmngtn,42.05939177077404,-93.64162404637136,172500
445,CollgCr,42.02008687810403,-93.66494381303912,210000
446,Edwards,42.024096526782046,-93.66080254501382,127500
447,NAmes,42.03957638519283,-93.62413835873737,190000
448,Gilbert,42.10563814311263,-93.64054362741913,199900
449,IDOTRR,42.02197786272404,-93.6249117889502,119500
450,OldTown,42.02831694320405,-93.61906285522922,120000
451,OldTown,42.03056682578987,-93.6119742881917,110000
452,ClearCr,42.03119489235721,-93.65945414440793,280000
453,Timber,41.99838392881804,-93.64862673249638,204000
454,Somerst,42.05145540131514,-93.6466597121795,210000
455,Mitchel,41.99480680429621,-93.60540308949103,188000
456,NWAmes,42.044249288715235,-93.62734537871374,175500
457,OldTown,42.03322381235189,-93.6116547057998,98000
458,ClearCr,42.03349189269906,-93.66254961498385,256000
459,OldTown,42.032839463384704,-93.61444866065212,161000
460,BrkSide,42.03205925988534,-93.62678799996398,110000
461,Somerst,42.04597504083216,-93.63748482701426,263435
462,SWISU,42.00957419424445,-93.6499519253828,155000
463,Sawyer,42.03110615642757,-93.67315961249909,62383
464,Crawfor,42.00618617171759,-93.63628927723923,188700
465,CollgCr,42.02187589791559,-93.6669738704888,124000
466,Blmngtn,42.06062855859305,-93.64126694284677,178740
467,NAmes,42.041957559782716,-93.61395968817962,167000
468,NAmes,42.04444615511136,-93.62202573403052,146500
469,NridgHt,42.063547456304306,-93.65252942378423,250000
470,SawyerW,42.0361721972399,-93.68785213993146,187000
471,StoneBr,42.05888138737449,-93.63472152292178,212000
472,NWAmes,42.040395937399126,-93.63068653479955,190000
473,Edwards,42.023208502277555,-93.66093509402204,148000
474,NridgHt,42.062962192728506,-93.65349441652194,440000
475,StoneBr,42.06290902802304,-93.63365780734502,251000
476,Sawyer,42.03312279274558,-93.67812205238477,132500
477,CollgCr,42.01875196269093,-93.66986899424505,208900
478,NridgHt,42.064570217713985,-93.65464323762474,380000
479,CollgCr,42.02002915221712,-93.65955703923389,297000
480,OldTown,42.03445355309791,-93.61435313189952,89471
481,NridgHt,42.063782763900896,-93.6554211321954,326000
482,NridgHt,42.06126093259503,-93.66015321922013,374000
483,OldTown,42.02913501678484,-93.614846882283,155000
484,Mitchel,41.98866633984144,-93.60195443372179,164000
485,Sawyer,42.032248669748036,-93.66929624112878,132500
486,NAmes,42.04089125549225,-93.61673098932624,147000
487,NAmes,42.04037104945662,-93.62206366204452,156000
488,NWAmes,42.04549890760046,-93.62669011184641,175000
489,OldTown,42.03264652882928,-93.61794746704837,160000
490,MeadowV,41.991627292766395,-93.60240756492377,86000
491,MeadowV,41.99149987050527,-93.60308605181565,115000
492,NAmes,42.04608354004078,-93.61728986916641,133000
493,Gilbert,42.104369447322455,-93.65178513106108,172785
494,NAmes,42.04604974493629,-93.61551969124287,155000
495,OldTown,42.03271311560733,-93.612543221121,91300
496,IDOTRR,42.020172131637516,-93.6193444844085,34900
497,NoRidge,42.04734479508282,-93.65379163998757,430000
498,BrkSide,42.028825769291586,-93.62574891917109,184000
499,Sawyer,42.03435700533891,-93.67030836812289,130000
500,NAmes,42.045568638563545,-93.62300111476594,120000
501,BrDale,42.051213847311566,-93.62747336329898,113000
502,Somerst,42.05020585245955,-93.6458427526566,226700
503,Edwards,42.021394165344105,-93.65772264935431,140000
504,Crawfor,42.00825900798992,-93.58558362332818,289000
505,NPkVill,42.050346403165186,-93.62506458130139,147000
506,OldTown,42.03412085315127,-93.61086048086963,124500
